Date,Julian Date / Sprout length (mm) https://www.aavso.org/jd-calculator,Ichi 1,Ichi 1B,Ichi 1C,Ichi 1D,Ichi 1E,Ichi 2,Ichi 3,Ichi 4,Ichi 4B,Ichi 4C,Ichi 5,Ichi 6,Ichi 5,Ni 1,Ni 1B,Ni 1C,Ni 1D,Ni 2,Ni 2B,Ni 2C,Ni 2D,Ni 3,Ni 4,San 1,San 2,San 3,San 3B,San 3C,San 4,San 5,San 5B,San 6,San 6B,San 7,San 8,San 8B,San 8C,San 9,San 10,San 11,San 12,San 14,San 14B,San Ni 1,San Ni 2,San Ni 3,San San 1,San San 2,Yon 1,Yon 2,Yon 3,Yon 4,Yon 4B,Yon 4C,Yon 5,Yon 6,Yon7,Go 1,Go 1B,Go 1C,Go 1D,Go 2,Go 3,Go 4,Go 5,Ruku 1,Ruku 1B,Ruku 1C,Ruku 2,Ruku 3,Ruku 4,Ruku 4B,Ruku 5,Ruku 6,Ruku 6B,Ruku 6C,Ruku 7,Ruku 8
"linear section (Python indices) - start / start:end+1",,,4,,,,,0:10,,,,,,,,,,,,4,,,3,3,8:13,0:11,8,,,,,,,,,,6,,,,,,7,,0:4,,,,0:4,,,,,,,,,,7:13,,,,,,,,8,,,,,,,,,,,,
Thursday 1 July 2021 - 18h UTC,2459397.25420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,14.0,10.7,21.0,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday 4 July 2021 - 17h UTC,2459400.20833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.8,15.3,14.8,20.8,25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday 8 July 2021 - 19h UTC,2459404.29167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.3,15.6,21.7,20.3,31.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday 12 July 2021 - 18h UTC,2459408.25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.3,15.6,30.4,20.3,34.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday 25 July 2021 - 15:30 UTC,2459421.14583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8,14.7,41.7,20.0,35.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday 2 August 2021 - 19h UTC,2459429.29167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.3,14.5,41.7,18.5,35.5,,,,,,,21.9,27.4,9.8,,,,,,,,,,,,,,,,,,,,,
Friday 13 August 2021 - 17h30 UTC,2459440.22917,,,,,,,,,,,24.6,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.5,64.0,28.2,,,,,,19.7,15.7,4.3,,,,,,,,,,,,,
Monday 16 August 2021 - 19h15 UTC,2459443.30208,,,,,,,,,,,27.7,23.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4,18.6,6.7,,,,,,,,,,,,,
Friday 20 August 2021 - 18h30 UTC,2459447.27083,,,,,,,,,,,31.1,32.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3,24.3,,,,,,,,,,,,,,
Wednesday 25 August 2021 - 15h45 UTC,2459452.15625,,,,,,,,,,,38.6,47.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.3,30.5,4.7,,,,,,,,,,,,,
Wednesday 1 September 2021 - 14h30 UTC,2459459.10417,,,,,,,,,,,36.3,55.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.8,33.3,3.9,,,,,,,,,,,,,
